Fragment,Count
[3*]OC,21
[3*]OO,19
[4*]CC,12
[3*]O[3*],8
[3*]OCO,7
[3*]OOC,7
[3*]OOO,4
[4*]C(C)O,4
[4*]CCO,4
[4*]CCC,4
[4*]C(C)C,4
[4*]C([4*])C,3
[4*]CC[4*],3
[3*]OCOC,2
[4*]CC(C)O,2
[4*]C(C)(C)O,2
[4*]CCCO,2
[3*]OOCO,2
[4*]C(C)CO,2
[3*]OO[3*],2
[3*]OCOO,2
[4*]C(O)CC,2
[4*]CC([4*])C,2
[3*]OC(O)O,2
[3*]OOOC,2
CC(C)(O)C(O)O,1
[4*]CC(C)(O)O,1
[4*]CC(C)(C)O,1
[4*]C(C)(O)O,1
CC(O)(O)CCO,1
CCCC(O)(O)O,1
[4*]C(C)(C)C,1
CC(O)C(C)(O)O,1
[4*]CCC(O)O,1
CCC(O)(O)CO,1
[4*]C(C)(C)CO,1
[4*]C(C)(O)CC,1
CC(O)(CO)CO,1
[4*]C(O)(O)CC,1
[4*]C([4*])(C)C,1
CC(C)C(O)(O)O,1
[4*]CC(O)O,1
[4*]CCC(C)O,1
OCCCC(O)O,1
[3*]OC(O)OC,1
[4*]C(C)(O)CO,1
CC(O)CC(O)O,1
[4*]C([4*])(C)O,1
[4*]C(C)CCO,1
[4*]C(O)CCO,1
[4*]CC(C)C,1
[4*]C(O)CCC,1
[4*]C(C)CC,1
[4*]CC([4*])O,1
[4*]C(O)CO,1
OCCC(O)CO,1
[4*]CC(O)CO,1
[4*]C(C)C(O)O,1
[4*]C(O)C(C)O,1
CCC(O)C(O)O,1
[4*]C(C)C(C)O,1
CC(CO)C(O)O,1
[4*]CC(O)CC,1
[4*]CC(C)CO,1
CC(O)C(O)CO,1
[4*]C(O)C(C)C,1
COC(OC)OC,1
[4*]C([4*])CO,1
[4*]C(CC)CO,1
OCC(CO)CO,1
[4*]C([4*])CC,1
[4*]C(CO)CO,1
[4*]CCC[4*],1
COCOCOC,1
[4*]CCCCO,1
[3*]OOCOC,1
[4*]CCCC,1
[3*]OCOOC,1
[3*]OOO[3*],1
[3*]OCOCO,1
